path,exists,size_bytes,decode_pass
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/uniform_control30/confusion_matrix_normalized.png,True,203520,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/uniform_control30/BoxF1_curve.png,True,304402,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/uniform_control30/BoxPR_curve.png,True,182057,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/uniform_control30/BoxP_curve.png,True,266705,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/uniform_control30/BoxR_curve.png,True,244101,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/uniform_control30/MaskF1_curve.png,True,289006,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/uniform_control30/MaskPR_curve.png,True,180480,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/uniform_control30/MaskP_curve.png,True,291188,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/uniform_control30/MaskR_curve.png,True,225574,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/uniform_control30/val_batch0_labels.jpg,True,268852,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/uniform_control30/val_batch0_pred.jpg,True,261616,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/hard_treatment30/confusion_matrix.png,True,165770,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/hard_treatment30/confusion_matrix_normalized.png,True,199667,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/hard_treatment30/BoxF1_curve.png,True,300292,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/hard_treatment30/BoxPR_curve.png,True,185157,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/hard_treatment30/BoxP_curve.png,True,286618,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/hard_treatment30/BoxR_curve.png,True,239291,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/hard_treatment30/MaskF1_curve.png,True,300579,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/hard_treatment30/MaskPR_curve.png,True,179801,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/hard_treatment30/MaskP_curve.png,True,288502,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/hard_treatment30/MaskR_curve.png,True,230484,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/hard_treatment30/val_batch0_labels.jpg,True,268852,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed42/unified_val/ultralytics/hard_treatment30/val_batch0_pred.jpg,True,277757,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/baseline100/confusion_matrix.png,True,166238,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/baseline100/confusion_matrix_normalized.png,True,205307,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/baseline100/BoxF1_curve.png,True,315228,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/baseline100/BoxPR_curve.png,True,186068,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/baseline100/BoxP_curve.png,True,278776,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/baseline100/BoxR_curve.png,True,252982,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/baseline100/MaskF1_curve.png,True,301385,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/baseline100/MaskPR_curve.png,True,176627,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/baseline100/MaskP_curve.png,True,268097,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/baseline100/MaskR_curve.png,True,240682,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/baseline100/val_batch0_labels.jpg,True,268852,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/baseline100/val_batch0_pred.jpg,True,266214,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/uniform_control30/confusion_matrix.png,True,162969,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/uniform_control30/confusion_matrix_normalized.png,True,194412,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/uniform_control30/BoxF1_curve.png,True,313146,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/uniform_control30/BoxPR_curve.png,True,184187,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/uniform_control30/BoxP_curve.png,True,268538,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/uniform_control30/BoxR_curve.png,True,251544,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/uniform_control30/MaskF1_curve.png,True,306062,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/uniform_control30/MaskPR_curve.png,True,176458,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/uniform_control30/MaskP_curve.png,True,272338,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/uniform_control30/MaskR_curve.png,True,235808,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/uniform_control30/val_batch0_labels.jpg,True,268852,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/uniform_control30/val_batch0_pred.jpg,True,272604,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/hard_treatment30/confusion_matrix.png,True,164984,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/hard_treatment30/confusion_matrix_normalized.png,True,208813,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/hard_treatment30/BoxF1_curve.png,True,304335,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/hard_treatment30/BoxPR_curve.png,True,186250,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/hard_treatment30/BoxP_curve.png,True,265135,True
/root/autodl-tmp/borescope-new-seg-repro/results/final_verify/exp10_controlled_restart/seed43/unified_val/ultralytics/hard_treatment30/BoxR_curve.png,True,239499,True
