seed,image_stem,changed_pixel_count,changed_pixel_ratio,connected_components,largest_component_area,largest_component_ratio
1,272,11436,0.027919921875,811,8479,0.02070068359375
1,273,64309,0.15700439453125,220,63907,0.15602294921875
1,274,2914,0.0071142578125,107,1426,0.0034814453125
1,275,62936,0.15365234375,196,61421,0.14995361328125
1,276,7546,0.0184228515625,161,4887,0.01193115234375
1,277,52018,0.1269970703125,183,51644,0.126083984375
1,278,8605,0.02100830078125,265,5325,0.01300048828125
1,279,2390,0.0058349609375,102,1365,0.00333251953125
1,28,14990,0.0365966796875,300,8764,0.021396484375
1,281,9907,0.02418701171875,243,9290,0.0226806640625
1,282,6400,0.015625,199,5964,0.014560546875
1,283,23262,0.0567919921875,247,15240,0.03720703125
1,284,12250,0.0299072265625,324,7847,0.01915771484375
1,285,1234,0.0030126953125,88,1059,0.00258544921875
1,286,69708,0.170185546875,333,59909,0.14626220703125
1,287,53028,0.129462890625,166,50411,0.12307373046875
1,288,39575,0.09661865234375,299,37716,0.092080078125
1,289,51916,0.126748046875,570,37539,0.09164794921875
1,29,12592,0.0307421875,246,11979,0.02924560546875
1,290,58282,0.1422900390625,262,53986,0.1318017578125
1,291,955,0.00233154296875,48,818,0.0019970703125
1,292,8199,0.02001708984375,131,7885,0.01925048828125
1,294,37723,0.09209716796875,246,34734,0.0847998046875
1,295,22625,0.05523681640625,217,22172,0.054130859375
1,296,20872,0.05095703125,202,19139,0.04672607421875
1,297,50297,0.12279541015625,286,39436,0.096279296875
1,299,52674,0.1285986328125,311,51963,0.12686279296875
1,3,52549,0.12829345703125,211,51061,0.12466064453125
1,300,5028,0.012275390625,150,2047,0.00499755859375
1,301,66890,0.1633056640625,441,64767,0.15812255859375
1,302,5686,0.0138818359375,185,5298,0.0129345703125
1,303,5117,0.01249267578125,243,4680,0.01142578125
1,304,6513,0.01590087890625,246,5919,0.01445068359375
1,305,7547,0.01842529296875,416,5239,0.01279052734375
1,306,798,0.0019482421875,161,407,0.00099365234375
1,307,44508,0.108662109375,154,43101,0.10522705078125
1,31,69140,0.168798828125,207,68637,0.16757080078125
1,311,5969,0.01457275390625,97,4252,0.010380859375
1,312,7047,0.01720458984375,203,5428,0.013251953125
1,313,53977,0.13177978515625,247,53465,0.13052978515625
1,314,12292,0.030009765625,809,6654,0.0162451171875
1,315,59412,0.145048828125,316,58547,0.14293701171875
1,316,2800,0.0068359375,89,1608,0.00392578125
1,317,32612,0.079619140625,307,30993,0.07566650390625
1,318,99497,0.24291259765625,915,96341,0.23520751953125
1,319,3473,0.00847900390625,142,1336,0.00326171875
1,321,4547,0.01110107421875,143,1821,0.00444580078125
1,322,696,0.00169921875,30,656,0.0016015625
1,325,1369,0.00334228515625,66,1258,0.0030712890625
1,326,72208,0.1762890625,234,70944,0.173203125
1,327,78087,0.19064208984375,774,74735,0.18245849609375
1,329,70736,0.1726953125,240,67917,0.16581298828125
1,33,33454,0.0816748046875,221,33016,0.08060546875
1,331,66809,0.16310791015625,148,66479,0.16230224609375
1,332,13690,0.0334228515625,336,12913,0.03152587890625
1,333,27774,0.0678076171875,259,27134,0.0662451171875
1,334,134401,0.32812744140625,409,133539,0.32602294921875
1,335,4524,0.011044921875,830,1167,0.00284912109375
1,336,3690,0.0090087890625,109,2590,0.0063232421875
1,337,4744,0.01158203125,144,2609,0.00636962890625
1,338,7213,0.01760986328125,257,2737,0.00668212890625
1,339,14342,0.0350146484375,356,10415,0.02542724609375
1,34,54767,0.13370849609375,274,34602,0.0844775390625
1,341,20835,0.05086669921875,641,11372,0.027763671875
1,343,9128,0.02228515625,189,8619,0.02104248046875
1,344,1827,0.00446044921875,57,1710,0.0041748046875
1,345,62739,0.15317138671875,303,62183,0.15181396484375
1,346,43016,0.10501953125,332,36122,0.0881884765625
1,347,925,0.00225830078125,195,528,0.0012890625
1,348,1466,0.0035791015625,151,1059,0.00258544921875
1,349,7004,0.017099609375,201,5909,0.01442626953125
1,352,12846,0.0313623046875,155,10448,0.0255078125
1,354,2074,0.0050634765625,239,1251,0.00305419921875
1,355,18615,0.04544677734375,159,18201,0.04443603515625
1,356,70518,0.1721630859375,222,70091,0.17112060546875
1,358,12425,0.03033447265625,282,8739,0.02133544921875
1,359,7707,0.01881591796875,263,4597,0.01122314453125
1,360,3568,0.0087109375,88,1200,0.0029296875
1,362,34713,0.08474853515625,126,34461,0.08413330078125
1,363,29395,0.07176513671875,586,24992,0.061015625
1,365,9683,0.02364013671875,163,9352,0.02283203125
1,366,7594,0.0185400390625,844,2886,0.0070458984375
1,367,68610,0.1675048828125,253,67048,0.16369140625
1,368,7279,0.01777099609375,258,6737,0.01644775390625
1,369,33383,0.08150146484375,351,30231,0.07380615234375
1,37,33875,0.08270263671875,237,30344,0.07408203125
1,374,5652,0.013798828125,273,4479,0.01093505859375
1,376,6250,0.0152587890625,253,5589,0.01364501953125
1,377,49985,0.12203369140625,175,49517,0.12089111328125
1,378,72225,0.17633056640625,498,70866,0.1730126953125
1,379,69401,0.16943603515625,368,68045,0.16612548828125
1,38,51547,0.12584716796875,243,50976,0.124453125
1,382,7126,0.0173974609375,149,5768,0.01408203125
1,384,6658,0.0162548828125,79,6488,0.01583984375
1,385,38870,0.0948974609375,167,37038,0.0904248046875
1,386,2182,0.0053271484375,111,1996,0.004873046875
1,387,926,0.0022607421875,62,820,0.002001953125
1,388,25527,0.06232177734375,327,19543,0.04771240234375
1,389,21597,0.05272705078125,113,20578,0.0502392578125
1,391,5350,0.0130615234375,323,4462,0.0108935546875
1,393,7023,0.01714599609375,564,2527,0.00616943359375
1,394,58254,0.1422216796875,241,54815,0.13382568359375
1,395,23465,0.05728759765625,145,22592,0.05515625
1,396,7242,0.0176806640625,143,6926,0.0169091796875
1,397,1318,0.0032177734375,71,1219,0.00297607421875
1,398,27359,0.06679443359375,189,24212,0.059111328125
1,399,11058,0.0269970703125,233,6140,0.014990234375
1,401,75288,0.18380859375,451,62880,0.153515625
1,402,60380,0.147412109375,324,58005,0.14161376953125
1,404,8539,0.02084716796875,198,6961,0.01699462890625
1,405,7076,0.017275390625,177,6673,0.01629150390625
1,407,7356,0.017958984375,166,4920,0.01201171875
1,410,32601,0.07959228515625,208,32184,0.07857421875
1,412,50228,0.122626953125,588,48359,0.11806396484375
1,413,5971,0.01457763671875,182,5523,0.01348388671875
1,415,3242,0.0079150390625,65,3086,0.0075341796875
1,417,9277,0.02264892578125,193,8441,0.02060791015625
1,418,9159,0.02236083984375,210,5093,0.01243408203125
1,419,56450,0.1378173828125,189,55984,0.1366796875
1,420,68805,0.16798095703125,301,53889,0.13156494140625
1,421,92993,0.22703369140625,249,62160,0.1517578125
1,423,10701,0.02612548828125,286,5611,0.01369873046875
1,424,10477,0.02557861328125,264,4976,0.0121484375
1,426,6995,0.01707763671875,246,5406,0.0131982421875
1,427,62720,0.153125,266,62144,0.15171875
1,428,3446,0.0084130859375,568,1084,0.002646484375
1,429,76086,0.1857568359375,356,74978,0.1830517578125
1,43,25891,0.06321044921875,146,25619,0.06254638671875
1,431,70972,0.173271484375,251,69398,0.1694287109375
1,434,30283,0.07393310546875,236,29391,0.07175537109375
1,435,4978,0.0121533203125,101,4732,0.011552734375
1,436,7713,0.01883056640625,181,6637,0.01620361328125
1,439,3708,0.009052734375,88,3534,0.0086279296875
1,44,31026,0.0757470703125,141,30728,0.07501953125
1,441,6546,0.0159814453125,160,4972,0.012138671875
1,442,107983,0.26363037109375,230,54390,0.1327880859375
1,443,54352,0.1326953125,97,54204,0.132333984375
1,444,1389,0.00339111328125,45,1301,0.00317626953125
1,445,3968,0.0096875,127,1596,0.003896484375
1,446,7883,0.01924560546875,152,7556,0.018447265625
1,447,2677,0.00653564453125,81,2178,0.0053173828125
1,448,13022,0.0317919921875,64,12912,0.0315234375
1,449,43864,0.10708984375,196,42449,0.10363525390625
1,450,35204,0.085947265625,142,33705,0.08228759765625
1,451,2751,0.00671630859375,92,2525,0.00616455078125
1,452,2555,0.00623779296875,59,2395,0.00584716796875
1,455,1205,0.00294189453125,20,1134,0.0027685546875
1,456,71173,0.17376220703125,328,68989,0.16843017578125
1,457,3731,0.00910888671875,58,1845,0.00450439453125
1,458,2102,0.0051318359375,55,2005,0.00489501953125
1,459,7488,0.01828125,128,3914,0.0095556640625
1,461,34333,0.08382080078125,70,34151,0.08337646484375
1,462,59665,0.14566650390625,100,59423,0.14507568359375
1,463,49524,0.120908203125,152,48803,0.11914794921875
1,465,49860,0.121728515625,137,49599,0.12109130859375
1,466,9701,0.02368408203125,167,5422,0.0132373046875
1,467,14478,0.0353466796875,357,7339,0.01791748046875
1,468,834,0.0020361328125,1,834,0.0020361328125
1,469,2475,0.00604248046875,77,2329,0.00568603515625
1,470,2120,0.00517578125,54,1996,0.004873046875
1,471,56238,0.1372998046875,125,54312,0.13259765625
1,474,8000,0.01953125,162,6150,0.0150146484375
1,476,27717,0.06766845703125,145,26042,0.0635791015625
1,478,81097,0.19799072265625,151,80797,0.19725830078125
1,48,24595,0.06004638671875,177,23483,0.05733154296875
1,480,2164,0.005283203125,61,1251,0.00305419921875
1,481,56108,0.136982421875,68,55949,0.13659423828125
1,482,50903,0.12427490234375,119,49986,0.1220361328125
1,483,25339,0.06186279296875,175,21357,0.05214111328125
1,485,60340,0.147314453125,95,60156,0.146865234375
1,486,1070,0.0026123046875,19,1021,0.00249267578125
1,487,6280,0.01533203125,208,5345,0.01304931640625
1,488,5623,0.01372802734375,152,2861,0.00698486328125
1,489,48440,0.11826171875,357,38871,0.09489990234375
1,49,23411,0.05715576171875,124,23140,0.056494140625
1,492,728,0.00177734375,15,686,0.0016748046875
1,494,1317,0.00321533203125,14,973,0.00237548828125
1,495,1359,0.00331787109375,32,1296,0.0031640625
1,497,4799,0.01171630859375,125,4522,0.0110400390625
1,498,42099,0.10278076171875,291,41508,0.101337890625
1,499,3133,0.00764892578125,117,2504,0.00611328125
1,50,75080,0.18330078125,227,74549,0.18200439453125
1,501,1835,0.00447998046875,40,1145,0.00279541015625
1,503,2080,0.005078125,91,1885,0.00460205078125
1,505,68190,0.1664794921875,239,63749,0.15563720703125
1,508,1421,0.00346923828125,41,1341,0.00327392578125
1,510,2935,0.00716552734375,90,2770,0.0067626953125
1,512,70836,0.172939453125,282,64433,0.15730712890625
1,513,20801,0.05078369140625,144,18365,0.04483642578125
1,514,44887,0.10958740234375,102,44692,0.109111328125
1,518,2036,0.004970703125,14,1360,0.0033203125
1,52,3601,0.00879150390625,538,1390,0.0033935546875
1,520,3441,0.00840087890625,91,1888,0.004609375
1,524,1250,0.0030517578125,47,1166,0.0028466796875
1,526,11845,0.02891845703125,144,8598,0.0209912109375
1,528,74775,0.18255615234375,265,67606,0.1650537109375
1,529,53849,0.13146728515625,197,50498,0.1232861328125
1,53,32543,0.07945068359375,258,30017,0.07328369140625
1,530,79116,0.193154296875,93,68209,0.16652587890625
1,531,1398,0.0034130859375,35,1304,0.00318359375
1,532,5385,0.01314697265625,110,4282,0.0104541015625
1,533,5432,0.01326171875,181,2327,0.00568115234375
