epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
41,292.069,1.79309,3.27456,2.37361,1.68501,0,0.62705,0.27743,0.33189,0.16453,0.64387,0.27091,0.32548,0.15009,2.03849,3.28151,2.62713,1.80566,0,0.00604,0.00604,0.00604
42,298.753,1.78625,3.15073,2.35591,1.66657,0,0.55263,0.32296,0.36077,0.20248,0.50882,0.30077,0.32713,0.18951,2.11147,3.40429,2.4908,1.86307,0,0.005941,0.005941,0.005941
43,304.879,1.77617,3.22272,2.34704,1.65568,0,0.51513,0.38921,0.41777,0.23454,0.5201,0.38667,0.39864,0.20756,2.07525,3.34009,2.44311,1.83775,0,0.005842,0.005842,0.005842
44,311.065,1.76126,3.19931,2.3542,1.66823,0,0.52348,0.4047,0.41145,0.20676,0.53729,0.36487,0.36895,0.1975,1.99581,3.23388,2.35099,1.7326,0,0.005743,0.005743,0.005743
45,317.231,1.78912,3.21111,2.37264,1.69001,0,0.66909,0.35018,0.42954,0.24225,0.68584,0.33846,0.40476,0.22794,1.97615,3.29066,2.68392,1.73881,0,0.005644,0.005644,0.005644
46,323.44,1.73495,3.1206,2.2689,1.62988,0,0.53181,0.43082,0.42186,0.19777,0.50461,0.39947,0.38952,0.21237,2.05299,3.33245,2.60525,1.76999,0,0.005545,0.005545,0.005545
47,330.293,1.70802,3.07188,2.23023,1.58962,0,0.54277,0.44522,0.45818,0.24322,0.48306,0.4186,0.40817,0.23002,2.05489,3.36924,2.39493,1.78168,0,0.005446,0.005446,0.005446
48,336.766,1.7444,3.20821,2.32802,1.67274,0,0.68011,0.42478,0.46046,0.21727,0.66867,0.41401,0.43283,0.21201,2.12182,3.63619,2.37548,1.81413,0,0.005347,0.005347,0.005347
49,343.075,1.72365,3.15729,2.27164,1.61639,0,0.53629,0.44459,0.43512,0.23244,0.52624,0.42807,0.40859,0.22375,2.03553,3.34542,2.63154,1.80029,0,0.005248,0.005248,0.005248
50,349.224,1.7285,3.11224,2.24525,1.61785,0,0.56758,0.40644,0.42741,0.22607,0.55035,0.38724,0.39599,0.20924,2.12077,3.27348,2.43995,1.84037,0,0.005149,0.005149,0.005149
51,355.426,1.74372,3.12482,2.25234,1.6225,0,0.51594,0.3856,0.41896,0.2163,0.51171,0.37707,0.4013,0.22072,2.06014,3.3703,2.57247,1.8761,0,0.00505,0.00505,0.00505
52,361.579,1.72807,3.08062,2.20621,1.6046,0,0.41418,0.47316,0.41627,0.2214,0.38618,0.43348,0.36974,0.1811,1.96813,3.31454,2.41543,1.77591,0,0.004951,0.004951,0.004951
53,368.232,1.70951,3.06934,2.24796,1.59687,0,0.58624,0.39232,0.43571,0.24801,0.57747,0.37138,0.40344,0.23068,1.96805,3.22847,2.42339,1.70744,0,0.004852,0.004852,0.004852
54,375.278,1.69929,3.05495,2.2249,1.58387,0,0.60111,0.33455,0.37846,0.21275,0.58525,0.31942,0.36809,0.20269,1.9553,3.2467,2.24927,1.758,0,0.004753,0.004753,0.004753
55,381.391,1.6527,3.01294,2.11876,1.54599,0,0.54815,0.42691,0.426,0.20867,0.5287,0.40859,0.40274,0.20513,2.00155,3.12217,2.27821,1.77556,0,0.004654,0.004654,0.004654
56,387.653,1.71166,3.07757,2.2386,1.60736,0,0.55014,0.43634,0.44939,0.23892,0.51271,0.41333,0.41559,0.21638,1.96693,3.08144,2.31675,1.7255,0,0.004555,0.004555,0.004555
57,393.891,1.69551,3.03206,2.16298,1.58027,0,0.59395,0.41032,0.44138,0.25112,0.56413,0.39591,0.41101,0.2095,1.93384,3.15932,2.33276,1.68123,0,0.004456,0.004456,0.004456
58,400.158,1.63735,2.96702,2.09512,1.55331,0,0.62569,0.41995,0.4702,0.2377,0.56754,0.41993,0.42574,0.22669,1.98519,3.11016,2.27908,1.7283,0,0.004357,0.004357,0.004357
59,406.858,1.6761,2.98761,2.15245,1.59068,0,0.5234,0.36758,0.38026,0.18722,0.52058,0.36549,0.36674,0.16211,1.93571,3.24667,2.29421,1.7213,0,0.004258,0.004258,0.004258
60,413.782,1.64715,3.0052,2.13581,1.56221,0,0.56575,0.47375,0.49105,0.28032,0.53629,0.45342,0.45641,0.25483,1.9285,3.10791,2.17199,1.76817,0,0.004159,0.004159,0.004159
61,419.994,1.62754,2.93143,2.04969,1.51812,0,0.85076,0.38213,0.4474,0.25855,0.84746,0.38292,0.43577,0.22357,1.93222,3.31012,2.30614,1.70082,0,0.00406,0.00406,0.00406
62,426.216,1.66788,3.03814,2.16925,1.57029,0,0.50739,0.49992,0.4449,0.24865,0.49387,0.45486,0.40367,0.21895,1.93663,3.13888,2.27744,1.69761,0,0.003961,0.003961,0.003961
63,432.442,1.60944,2.90575,2.12639,1.53051,0,0.55895,0.44454,0.47009,0.26546,0.55258,0.42353,0.44897,0.24753,1.92908,3.17144,2.39363,1.70391,0,0.003862,0.003862,0.003862
64,438.665,1.61109,2.89164,2.05817,1.50626,0,0.55373,0.43132,0.45504,0.24872,0.53632,0.42817,0.43469,0.23044,1.98315,3.08867,2.26746,1.74489,0,0.003763,0.003763,0.003763
65,445.31,1.66133,2.95509,2.0794,1.56729,0,0.46163,0.48958,0.40873,0.22297,0.48554,0.42192,0.38081,0.21367,1.95008,3.05925,2.24454,1.75491,0,0.003664,0.003664,0.003664
66,452.283,1.62371,2.93342,2.07087,1.54472,0,0.58636,0.47396,0.43868,0.25334,0.57956,0.43658,0.41713,0.23892,1.94155,3.0078,2.19401,1.72981,0,0.003565,0.003565,0.003565
67,458.338,1.63311,2.93495,2.04434,1.52444,0,0.68552,0.38596,0.46167,0.2711,0.66455,0.3824,0.43425,0.22859,1.90255,3.17258,2.14584,1.66522,0,0.003466,0.003466,0.003466
68,464.451,1.59866,2.9297,2.028,1.51008,0,0.539,0.45107,0.46005,0.25611,0.48775,0.44111,0.42259,0.2267,1.88132,2.95195,2.06988,1.71404,0,0.003367,0.003367,0.003367
69,470.614,1.61287,2.92141,2.07666,1.52913,0,0.60476,0.40606,0.48401,0.28067,0.55173,0.39655,0.45388,0.25448,1.84544,2.98873,2.0802,1.63774,0,0.003268,0.003268,0.003268
70,476.807,1.60851,2.96318,2.06107,1.51828,0,0.58316,0.45785,0.49529,0.28979,0.5278,0.45238,0.46391,0.25699,1.87064,2.99256,2.02513,1.64309,0,0.003169,0.003169,0.003169
71,483.357,1.56647,2.8339,1.92509,1.47618,0,0.65636,0.49846,0.51624,0.26901,0.61589,0.47164,0.48136,0.25003,1.95247,3.03313,2.0873,1.72578,0,0.00307,0.00307,0.00307
72,490.332,1.53559,2.77262,1.8914,1.46652,0,0.58929,0.49888,0.50557,0.28553,0.66539,0.4199,0.45673,0.26773,1.86071,2.90604,2.04542,1.64774,0,0.002971,0.002971,0.002971
73,496.434,1.5592,2.80877,1.9742,1.50981,0,0.55812,0.48008,0.47542,0.29072,0.57026,0.48175,0.46767,0.25313,1.87157,2.929,2.08577,1.70335,0,0.002872,0.002872,0.002872
74,502.589,1.55181,2.85488,1.98687,1.49828,0,0.52825,0.43827,0.47896,0.27807,0.56469,0.40665,0.44005,0.24311,1.842,3.10331,2.0976,1.68432,0,0.002773,0.002773,0.002773
75,508.737,1.54347,2.85833,1.97047,1.49309,0,0.54923,0.42871,0.46674,0.27686,0.53916,0.40872,0.44089,0.24272,1.88551,2.94267,2.08326,1.71016,0,0.002674,0.002674,0.002674
76,514.874,1.50432,2.78091,1.90354,1.46173,0,0.59562,0.47684,0.49697,0.29313,0.58472,0.45214,0.47603,0.26332,1.86355,2.9363,2.07678,1.66245,0,0.002575,0.002575,0.002575
77,521.592,1.54409,2.78233,1.94808,1.46848,0,0.64587,0.50213,0.53022,0.2942,0.63623,0.44706,0.47765,0.26175,1.87949,3.03608,1.98893,1.65496,0,0.002476,0.002476,0.002476
78,528.476,1.52064,2.77149,1.91194,1.46325,0,0.69189,0.51614,0.53521,0.30407,0.68059,0.48687,0.49833,0.27564,1.8552,2.92956,2.02378,1.66511,0,0.002377,0.002377,0.002377
79,534.645,1.52277,2.7901,1.89904,1.45419,0,0.57018,0.47689,0.51122,0.2853,0.56405,0.44164,0.4751,0.26332,1.85051,2.93485,1.99081,1.66832,0,0.002278,0.002278,0.002278
80,540.9,1.51084,2.71751,1.8473,1.43621,0,0.56642,0.51068,0.51629,0.31081,0.54477,0.49193,0.49071,0.27319,1.84014,2.96071,1.91431,1.68929,0,0.002179,0.002179,0.002179
81,547.1,1.49224,2.77271,1.87518,1.45077,0,0.59466,0.40117,0.48155,0.27944,0.57673,0.39723,0.46773,0.24693,1.83727,3.01849,2.00198,1.67485,0,0.00208,0.00208,0.00208
82,553.467,1.53141,2.72071,1.84933,1.42862,0,0.5655,0.50927,0.52374,0.29755,0.68334,0.41897,0.48219,0.26974,1.81126,2.94692,1.94914,1.6413,0,0.001981,0.001981,0.001981
83,560.308,1.51302,2.8147,1.86258,1.45748,0,0.63157,0.50401,0.53212,0.31026,0.60178,0.48204,0.5004,0.2748,1.81757,2.87045,1.89248,1.64901,0,0.001882,0.001882,0.001882
84,567.016,1.47883,2.72872,1.86941,1.4508,0,0.64059,0.51537,0.52398,0.31448,0.61743,0.50465,0.49298,0.28408,1.78626,2.85742,1.86218,1.64087,0,0.001783,0.001783,0.001783
85,573.201,1.48193,2.67194,1.81217,1.42111,0,0.73365,0.48497,0.54695,0.3151,0.6988,0.45676,0.50991,0.28349,1.81696,2.87126,1.81646,1.62986,0,0.001684,0.001684,0.001684
86,579.399,1.43169,2.66171,1.77734,1.41103,0,0.6569,0.52105,0.5424,0.30892,0.62285,0.49586,0.5135,0.2847,1.81027,2.87787,1.87712,1.6375,0,0.001585,0.001585,0.001585
87,585.548,1.48265,2.67918,1.81739,1.4243,0,0.62176,0.49946,0.54286,0.31252,0.65141,0.48479,0.50354,0.27302,1.81444,2.90019,1.83624,1.64135,0,0.001486,0.001486,0.001486
88,591.876,1.44908,2.62432,1.74224,1.38781,0,0.62816,0.5169,0.55558,0.31722,0.58601,0.47562,0.50607,0.28636,1.82038,2.89729,1.82841,1.61341,0,0.001387,0.001387,0.001387
89,599.059,1.41596,2.60812,1.70949,1.38291,0,0.599,0.47,0.52627,0.31782,0.61293,0.46006,0.51333,0.26782,1.84663,2.887,1.8815,1.66814,0,0.001288,0.001288,0.001288
90,605.178,1.44275,2.62779,1.74824,1.40127,0,0.6461,0.48703,0.5511,0.32217,0.60495,0.47337,0.51833,0.29303,1.7743,2.87405,1.78485,1.61154,0,0.001189,0.001189,0.001189
91,612.62,1.5007,2.6293,1.86206,1.50993,0,0.60722,0.49962,0.52144,0.30063,0.59162,0.47682,0.49998,0.28155,1.83764,2.91602,1.91714,1.66719,0,0.00109,0.00109,0.00109
92,618.747,1.46384,2.56427,1.81502,1.50027,0,0.56841,0.49048,0.54019,0.30046,0.53418,0.46199,0.49559,0.28248,1.83961,2.91941,1.83977,1.65387,0,0.000991,0.000991,0.000991
93,625.098,1.44279,2.53412,1.74282,1.46942,0,0.73114,0.44376,0.55263,0.32177,0.73325,0.44077,0.54335,0.28939,1.81595,2.85409,1.80689,1.6354,0,0.000892,0.000892,0.000892
94,631.183,1.43179,2.50923,1.74247,1.46531,0,0.59695,0.49461,0.53706,0.30898,0.58276,0.48625,0.50604,0.27149,1.82154,2.8823,1.87276,1.62705,0,0.000793,0.000793,0.000793
95,638.113,1.41541,2.51906,1.69635,1.45131,0,0.67563,0.48947,0.56368,0.32238,0.63421,0.47567,0.53375,0.29299,1.81576,2.86163,1.78968,1.62186,0,0.000694,0.000694,0.000694
96,644.427,1.40171,2.4397,1.6801,1.43764,0,0.65386,0.51514,0.56627,0.31924,0.648,0.49137,0.52608,0.29266,1.82535,2.8297,1.78947,1.65928,0,0.000595,0.000595,0.000595
97,650.51,1.38168,2.49591,1.64414,1.40907,0,0.73988,0.47745,0.55943,0.32467,0.7008,0.46361,0.5264,0.2943,1.79382,2.83506,1.77827,1.63735,0,0.000496,0.000496,0.000496
98,656.782,1.378,2.44455,1.6791,1.43762,0,0.65536,0.49215,0.55271,0.3337,0.6234,0.47928,0.52163,0.29365,1.76619,2.82289,1.75757,1.60747,0,0.000397,0.000397,0.000397
99,662.85,1.387,2.4432,1.65324,1.44194,0,0.69455,0.50963,0.56676,0.33969,0.63959,0.48918,0.5271,0.29397,1.76403,2.83137,1.74662,1.61451,0,0.000298,0.000298,0.000298
100,669.001,1.37001,2.43099,1.63375,1.43097,0,0.72351,0.51358,0.56791,0.34175,0.6708,0.48521,0.53026,0.293,1.76488,2.82063,1.74075,1.61543,0,0.000199,0.000199,0.000199
