image_id,edit_id,seed,family,outlier_type,reason,changed_pixel_ratio,mask_area_ratio,visible_change_ratio,connected_components,largest_component_ratio_lower_bound,image_level_changed_pixel_ratio,image_level_largest_component_ratio
228,seed42_edit02,42,D_irregular_boundary,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.05947021484375,0.05826416015625,0.7256004864700517,95,0.0006133069490131579,0.1048095703125,0.0690185546875
23,seed42_edit01,42,C_elongated_ribbon,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.0080712890625,0.00776611328125,0.47892201144233665,71,0.00010938187720070422,0.01495361328125,0.0094091796875
234,seed42_edit00,42,C_elongated_ribbon,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.0040966796875,0.00404541015625,0.4860662951012027,59,6.856627383474577e-05,0.01071533203125,0.00376708984375
235,seed42_edit01,42,D_irregular_boundary,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.031201171875,0.030966796875,0.6731054977711739,30,0.0010322265625,0.11755615234375,0.11606201171875
237,seed42_edit00,42,D_irregular_boundary,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.0662744140625,0.06483154296875,0.7110914738646101,38,0.0017060932360197368,0.08247802734375,0.0739404296875
237,seed42_edit01,42,C_elongated_ribbon,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.00428955078125,0.00427978515625,0.36827731092436977,89,4.808747366573034e-05,0.08247802734375,0.0739404296875
238,seed42_edit00,42,C_elongated_ribbon,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.00635986328125,0.00630126953125,0.5627998255560401,38,0.0001658228824013158,0.008310546875,0.0078662109375
239,seed42_edit00,42,D_irregular_boundary,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.03607666015625,0.03582763671875,0.5915668964405209,114,0.0003142775150767544,0.047998046875,0.042529296875
240,seed42_edit02,42,D_irregular_boundary,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.0203125,0.01969970703125,0.7491412125150868,20,0.0009849853515624999,0.05787841796875,0.0313720703125
252,seed42_edit00,42,C_elongated_ribbon,WEAK_CHANGE_CANDIDATE,changed_pixel_ratio_at_or_below_weak_threshold,0.000390625,0.000390625,0.3611738148984199,13,3.0048076923076925e-05,0.00103271484375,0.0007421875
