image_stem,seed,edit_count,families,total_refined_area_ratio,min_visible_change_ratio,mean_gray_difference,status
206,1,1,B_diffuse_texture,0.0137646484375,0.9606406542852275,7.853316778999646,PASS
207,1,1,B_diffuse_texture,0.0500341796875,0.9841056422569028,10.505635210305456,PASS
208,1,2,"B_diffuse_texture,C_crack_like_structural_evolution",0.1694677734375,0.9670721357850071,32.03474331969693,PASS
209,1,1,C_crack_like_structural_evolution,0.00183349609375,1.0,32.91620905459387,PASS
21,1,3,"A_small_low_contrast,B_diffuse_texture,B_diffuse_texture",0.07424316406249999,0.8413978494623656,20.107642983097755,PASS
210,1,1,C_crack_like_structural_evolution,0.0044677734375,0.9983633387888707,20.25645245901639,PASS
213,1,1,B_diffuse_texture,0.1595458984375,0.9918496820313567,93.745506503443,PASS
215,1,2,"D_boundary_evolution,A_small_low_contrast",0.008908691406249999,0.96,15.710214326260346,PASS
216,1,2,"B_diffuse_texture,C_crack_like_structural_evolution",0.1121630859375,0.9778725441134876,22.456628836370676,PASS
217,1,2,"A_small_low_contrast,A_small_low_contrast",0.0033251953125000002,0.8513513513513513,6.199108315700244,PASS
219,1,2,"B_diffuse_texture,B_diffuse_texture",0.09275146484375,0.987704280155642,96.27753440827723,PASS
220,1,1,C_crack_like_structural_evolution,0.00254150390625,1.0,37.59562151777137,PASS
221,1,1,C_crack_like_structural_evolution,0.00342041015625,1.0,39.04844896502498,PASS
222,1,1,C_crack_like_structural_evolution,0.00280517578125,0.9991304347826087,24.626979112271535,PASS
223,1,3,"B_diffuse_texture,B_diffuse_texture,D_boundary_evolution",0.08910400390624999,0.9591787439613526,40.66087043476659,PASS
224,1,2,"C_crack_like_structural_evolution,B_diffuse_texture",0.06656982421874999,0.9343682108066438,18.994461166914707,PASS
225,1,3,"D_boundary_evolution,B_diffuse_texture,C_crack_like_structural_evolution",0.17798828125,0.978887685908029,19.06095264950105,PASS
227,1,2,"C_crack_like_structural_evolution,B_diffuse_texture",0.14068603515625,0.9627701208099371,32.89036888824721,PASS
228,1,1,D_boundary_evolution,0.00985107421875,0.9992570579494799,31.002532837670383,PASS
23,1,1,B_diffuse_texture,0.066640625,0.9743699578782038,86.41048732415005,PASS
233,1,2,"A_small_low_contrast,A_small_low_contrast",0.003037109375,0.9085603112840467,6.220049661163151,PASS
234,1,3,"C_crack_like_structural_evolution,B_diffuse_texture,D_boundary_evolution",0.055361328125000005,0.9836425640136408,46.040342644024655,PASS
235,1,1,C_crack_like_structural_evolution,0.00133544921875,1.0,32.91704570383912,PASS
236,1,2,"A_small_low_contrast,B_diffuse_texture",0.0643896484375,0.8583877995642701,40.784365567047494,PASS
237,1,2,"A_small_low_contrast,C_crack_like_structural_evolution",0.007067871093749999,0.958966565349544,20.23549278233308,PASS
238,1,3,"A_small_low_contrast,A_small_low_contrast,A_small_low_contrast",0.007990722656250001,0.9237029501525941,7.368738264220252,PASS
239,1,2,"A_small_low_contrast,A_small_low_contrast",0.0039306640625,0.8558139534883721,7.160042673107883,PASS
24,1,2,"B_diffuse_texture,B_diffuse_texture",0.16231445312499998,0.9398346761536047,10.304322861487375,PASS
240,1,2,"D_boundary_evolution,B_diffuse_texture",0.09850830078125,0.9511966332015008,36.038773926270764,PASS
243,1,3,"C_crack_like_structural_evolution,C_crack_like_structural_evolution,C_crack_like_structural_evolution",0.0056176757812499995,1.0,27.194037041858834,PASS
249,1,2,"A_small_low_contrast,D_boundary_evolution",0.009465332031249999,0.8676844783715013,26.617203984873722,PASS
250,1,2,"A_small_low_contrast,A_small_low_contrast",0.00393310546875,0.8838896952104499,7.340973188433046,PASS
252,1,1,B_diffuse_texture,0.17319580078125,0.9918072895549932,11.191264924373774,PASS
253,1,2,"C_crack_like_structural_evolution,D_boundary_evolution",0.01410400390625,0.9997860962566845,30.050865624579323,PASS
254,1,1,D_boundary_evolution,0.0076171875,0.9961685823754789,39.9155625,PASS
255,1,3,"B_diffuse_texture,C_crack_like_structural_evolution,A_small_low_contrast",0.16447998046875,0.9779705974913456,34.529226567248806,PASS
257,1,3,"D_boundary_evolution,C_crack_like_structural_evolution,B_diffuse_texture",0.11898681640625,0.9494288971584676,34.98816503984622,PASS
