image_stem,seed,edit_index,family,attempt,reasons,mask_area_ratio,bbox_xyxy,bbox_aspect_ratio,relative_bbox_width,relative_bbox_height,perimeter,compactness,connected_components,largest_component_ratio,largest_component_ratio_lower_bound,skeleton_length,elongation_score,boundary_score
394,0,0,D_boundary_evolution,4,D_COMPONENT_COUNT,0.00296142578125,"[411, 364, 547, 418]",2.4909090909090907,0.2140625,0.0859375,648.0,0.03630117254233748,11,0.9752679307502061,0.9752679307502061,378,2.8882773265931814,0.5342126957955482
415,0,2,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.008037109375,"[298, 435, 559, 567]",1.9699248120300752,0.409375,0.2078125,1826.0,0.012407038908137897,9,0.5413122721749696,0.5413122721749696,968,1.8519673738449076,0.554678007290401
415,0,2,D_boundary_evolution,2,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00510009765625,"[57, 23, 248, 168]",1.3150684931506849,0.3,0.228125,1323.0,0.014997836528673359,8,0.3575873623743418,0.3575873623743418,705,1.2604426025692517,0.63331737673528
415,0,2,D_boundary_evolution,3,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.01632080078125,"[243, 62, 494, 205]",1.75,0.39375,0.225,1864.0,0.024177949134778415,2,0.8963350785340314,0.8963350785340314,947,1.757133872321288,0.2788332086761406
415,0,2,D_boundary_evolution,4,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.0093603515625,"[238, 66, 484, 165]",2.47,0.3859375,0.15625,1517.0,0.020935860265900143,2,0.8513302034428795,0.8513302034428795,749,2.3490719951712933,0.39567031820552945
428,0,1,C_crack_like_structural_evolution,1,C_COMPONENT_COUNT,0.00246826171875,"[400, 58, 459, 314]",4.283333333333333,0.09375,0.4015625,658.0,0.029343318823544504,2,0.7467853610286844,0.7467853610286844,319,8.394233231562366,0.6508407517309595
435,0,0,C_crack_like_structural_evolution,1,C_COMPONENT_COUNT,0.0025634765625,"[221, 135, 458, 217]",2.8674698795180724,0.371875,0.1296875,660.0,0.030290838257752827,3,0.5961904761904762,0.5961904761904762,287,6.399506252633668,0.6285714285714286
442,0,0,D_boundary_evolution,1,D_COMPONENT_COUNT,0.00739990234375,"[264, 261, 462, 415]",1.2838709677419355,0.3109375,0.2421875,1602.0,0.014841260118096234,2,0.999340151765094,0.999340151765094,727,1.2843314671038306,0.5285384361596833
456,0,1,D_boundary_evolution,1,D_COMPONENT_COUNT,0.00763671875,"[334, 343, 565, 465]",1.886178861788618,0.3625,0.1921875,1417.0,0.01957658380603484,2,0.9968030690537084,0.9968030690537084,745,1.7741432778690955,0.4530051150895141
458,0,0,D_boundary_evolution,1,D_COMPONENT_COUNT,0.0044091796875,"[361, 240, 492, 332]",1.4193548387096775,0.20625,0.1453125,997.0,0.02283164974314384,2,0.9706533776301218,0.9706533776301218,446,1.378821005472161,0.5520487264673312
458,0,0,D_boundary_evolution,2,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.0041943359375,"[428, 550, 609, 616]",2.716417910447761,0.284375,0.1046875,995.0,0.02180654500186264,8,0.48661233993015135,0.48661233993015135,511,2.2865300906897357,0.5791618160651921
461,0,1,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00381591796875,"[362, 133, 600, 234]",2.343137254901961,0.3734375,0.159375,1239.0,0.012794585749425215,15,0.3934740882917466,0.3934740882917466,711,2.2366607257548643,0.7927063339731286
470,0,2,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.0059375,"[42, 380, 309, 505]",2.126984126984127,0.41875,0.196875,1580.0,0.012242194093142728,7,0.5509868421052632,0.5509868421052632,825,1.8262978733313868,0.649671052631579
478,0,0,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00629638671875,"[407, 162, 600, 322]",1.204968944099379,0.303125,0.2515625,1608.0,0.012533983462055512,2,0.7530050407134549,0.7530050407134549,802,1.20194453337558,0.6234974796432726
478,0,2,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00668212890625,"[335, 401, 568, 499]",2.3636363636363638,0.365625,0.1546875,1374.0,0.018218440390947846,3,0.9159663865546218,0.9159663865546218,731,2.10450725575706,0.5020094994519547
49,0,0,C_crack_like_structural_evolution,1,C_COMPONENT_COUNT,0.00226318359375,"[378, 313, 406, 562]",8.620689655172415,0.0453125,0.390625,587.0,0.03380752638661909,6,0.9730312837108953,0.9730312837108953,301,10.44629652687056,0.6332254584681769
50,0,0,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00370849609375,"[419, 211, 596, 343]",1.3383458646616542,0.278125,0.2078125,1081.0,0.016334891343465666,18,0.3416721527320606,0.3416721527320606,594,1.1991699363288266,0.7116524028966426
