epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
49,325.068,1.68304,3.05221,2.20172,1.63138,0,0.65293,0.37912,0.46966,0.2422,0.584,0.34052,0.4199,0.23328,1.95466,3.12498,2.23722,1.80559,0,0.005248,0.005248,0.005248
50,331.158,1.68378,3.0239,2.16806,1.6477,0,0.60863,0.38041,0.44204,0.23196,0.62007,0.37886,0.42549,0.22968,1.92497,3.10089,2.5998,1.77221,0,0.005149,0.005149,0.005149
51,337.131,1.67494,3.01249,2.14993,1.61928,0,0.73271,0.39581,0.45124,0.23106,0.63659,0.35965,0.39707,0.22603,1.97297,3.07826,2.25227,1.78058,0,0.00505,0.00505,0.00505
52,343.504,1.63834,3.01516,2.10549,1.59271,0,0.75099,0.38055,0.4634,0.27874,0.72285,0.3665,0.42416,0.23794,1.9229,3.05269,2.12718,1.77297,0,0.004951,0.004951,0.004951
53,349.505,1.68082,3.03352,2.21274,1.62212,0,0.56743,0.41854,0.44573,0.22162,0.57949,0.37595,0.4077,0.23174,1.96446,3.22905,2.60725,1.80993,0,0.004852,0.004852,0.004852
54,355.696,1.68866,3.00314,2.15692,1.60326,0,0.57193,0.42876,0.48406,0.27009,0.6555,0.38593,0.454,0.24356,1.98844,3.06853,2.13655,1.78382,0,0.004753,0.004753,0.004753
55,361.749,1.66307,2.97216,2.0697,1.59144,0,0.61607,0.44193,0.44909,0.21374,0.55975,0.39337,0.39629,0.20821,2.00005,3.19657,2.46937,1.81118,0,0.004654,0.004654,0.004654
56,367.803,1.66272,3.02052,2.1024,1.60695,0,0.75207,0.44319,0.49944,0.27367,0.71828,0.3924,0.44951,0.2604,1.93411,3.0268,1.99338,1.72211,0,0.004555,0.004555,0.004555
57,373.922,1.67721,2.97828,2.08795,1.59129,0,0.60984,0.43923,0.51222,0.25063,0.64156,0.36738,0.43984,0.23465,1.93993,3.06765,2.22436,1.71305,0,0.004456,0.004456,0.004456
58,380.53,1.61092,2.90643,2.04441,1.57439,0,0.47473,0.53253,0.52624,0.26408,0.72577,0.3951,0.44207,0.24449,1.90729,3.21268,2.14999,1.72815,0,0.004357,0.004357,0.004357
59,386.594,1.61506,2.91645,2.05769,1.59588,0,0.6535,0.45192,0.50804,0.27399,0.62344,0.40491,0.44044,0.23489,1.89286,2.99236,2.0798,1.72947,0,0.004258,0.004258,0.004258
60,392.77,1.61374,2.94372,2.07744,1.57263,0,0.67373,0.44085,0.49645,0.27727,0.62809,0.44732,0.45751,0.26084,1.85605,2.98141,2.04032,1.66759,0,0.004159,0.004159,0.004159
61,399.035,1.59379,2.87948,1.9889,1.53674,0,0.66057,0.46376,0.53265,0.29484,0.67804,0.42332,0.46607,0.26653,1.82974,2.9675,2.04149,1.69464,0,0.00406,0.00406,0.00406
62,405.154,1.61761,2.94858,2.09789,1.5907,0,0.70407,0.43114,0.50664,0.28132,0.67334,0.42436,0.45904,0.25054,1.88864,2.99516,2.00088,1.70142,0,0.003961,0.003961,0.003961
63,411.875,1.55867,2.81779,2.0282,1.53833,0,0.64417,0.47054,0.51319,0.27256,0.74978,0.41302,0.47134,0.25138,1.86762,2.93369,2.04823,1.70431,0,0.003862,0.003862,0.003862
64,418.026,1.56731,2.81249,1.9862,1.51641,0,0.61566,0.48344,0.52394,0.28452,0.60683,0.45556,0.47814,0.26538,1.80895,2.95808,1.98599,1.66659,0,0.003763,0.003763,0.003763
65,424.152,1.58928,2.85203,1.97794,1.57617,0,0.64841,0.49258,0.49719,0.28568,0.59582,0.44301,0.44428,0.249,1.81656,3.00885,2.02898,1.68697,0,0.003664,0.003664,0.003664
66,430.302,1.57359,2.81989,1.99639,1.55248,0,0.55412,0.51415,0.50767,0.28102,0.68337,0.43506,0.47741,0.25886,1.83918,3.08968,1.9356,1.68349,0,0.003565,0.003565,0.003565
67,436.583,1.59133,2.8579,1.99603,1.54846,0,0.66009,0.44531,0.50406,0.27978,0.71417,0.44804,0.47187,0.27035,1.91115,3.00659,2.08115,1.70973,0,0.003466,0.003466,0.003466
68,442.599,1.55988,2.87463,1.96585,1.52275,0,0.65891,0.49027,0.5279,0.29171,0.60807,0.43771,0.46716,0.26468,1.85372,2.98994,1.96672,1.68392,0,0.003367,0.003367,0.003367
69,449.02,1.57353,2.84308,1.97876,1.53655,0,0.66576,0.48649,0.51978,0.2982,0.62385,0.42182,0.45507,0.25555,1.89063,3.0035,2.01866,1.71925,0,0.003268,0.003268,0.003268
70,455.094,1.56154,2.90275,1.97023,1.52331,0,0.70951,0.46388,0.52709,0.29101,0.69583,0.42924,0.47977,0.2629,1.86223,2.95907,1.94772,1.68985,0,0.003169,0.003169,0.003169
71,461.157,1.50737,2.76578,1.85223,1.48442,0,0.54305,0.52813,0.56315,0.30485,0.50297,0.48103,0.4922,0.27999,1.84717,2.85544,1.92284,1.68016,0,0.00307,0.00307,0.00307
72,467.181,1.5054,2.71703,1.83388,1.47299,0,0.73399,0.48551,0.54383,0.29635,0.65202,0.43264,0.45137,0.26433,1.81024,2.92829,2.01394,1.66055,0,0.002971,0.002971,0.002971
73,473.379,1.50642,2.7402,1.90583,1.51135,0,0.52558,0.51815,0.54039,0.29308,0.68293,0.40103,0.47131,0.27466,1.83798,2.8703,1.90016,1.64324,0,0.002872,0.002872,0.002872
74,479.357,1.51319,2.77307,1.91851,1.51865,0,0.66018,0.47303,0.53048,0.29081,0.66048,0.44662,0.49151,0.26813,1.87107,2.95685,1.91953,1.69601,0,0.002773,0.002773,0.002773
75,485.885,1.50774,2.77921,1.90108,1.50458,0,0.6436,0.50734,0.54851,0.29198,0.59139,0.45868,0.47377,0.26096,1.83706,2.94962,1.84915,1.64611,0,0.002674,0.002674,0.002674
76,491.869,1.4662,2.71198,1.84488,1.46365,0,0.6791,0.53887,0.57632,0.31852,0.64186,0.45062,0.49842,0.28013,1.82863,2.96976,1.8723,1.62997,0,0.002575,0.002575,0.002575
77,497.909,1.48502,2.7258,1.84905,1.467,0,0.65488,0.48183,0.55292,0.30855,0.5689,0.40906,0.4639,0.26561,1.88318,2.88734,1.85237,1.65064,0,0.002476,0.002476,0.002476
78,503.969,1.47728,2.71591,1.83501,1.4721,0,0.63111,0.53356,0.55882,0.30794,0.72094,0.40508,0.48767,0.28092,1.81745,2.94414,1.84846,1.6317,0,0.002377,0.002377,0.002377
79,510.181,1.48481,2.72692,1.81445,1.46461,0,0.63482,0.51781,0.5633,0.32297,0.60112,0.46023,0.49375,0.27991,1.8396,2.94607,1.8233,1.64743,0,0.002278,0.002278,0.002278
80,516.719,1.46857,2.65987,1.75928,1.44734,0,0.66097,0.53149,0.56419,0.31613,0.59649,0.46107,0.49063,0.27797,1.8077,3.07111,1.92521,1.667,0,0.002179,0.002179,0.002179
81,522.816,1.46111,2.70496,1.77494,1.45859,0,0.66861,0.55064,0.57751,0.3314,0.64871,0.46739,0.50525,0.2919,1.80713,2.93274,1.95376,1.63452,0,0.00208,0.00208,0.00208
82,528.923,1.47983,2.64315,1.77446,1.43701,0,0.66686,0.52549,0.59578,0.31842,0.76222,0.45743,0.52915,0.28361,1.82777,2.96158,1.7918,1.64111,0,0.001981,0.001981,0.001981
83,534.996,1.47725,2.75068,1.8273,1.46984,0,0.74753,0.53323,0.58662,0.32602,0.70618,0.46942,0.51587,0.29437,1.76622,2.8997,1.76811,1.6498,0,0.001882,0.001882,0.001882
84,541.194,1.44654,2.66508,1.78454,1.45388,0,0.71056,0.51365,0.58282,0.32142,0.73613,0.4376,0.51868,0.29752,1.77886,2.85807,1.80396,1.64945,0,0.001783,0.001783,0.001783
85,547.507,1.4568,2.6054,1.72271,1.43234,0,0.80451,0.50385,0.59407,0.3296,0.75735,0.45729,0.53666,0.29726,1.79744,2.91271,1.80045,1.61684,0,0.001684,0.001684,0.001684
86,554.087,1.42243,2.60505,1.69336,1.42167,0,0.73185,0.56689,0.59902,0.334,0.69027,0.47896,0.51867,0.29138,1.77833,2.86723,1.7856,1.62204,0,0.001585,0.001585,0.001585
87,560.197,1.45055,2.61731,1.73393,1.43446,0,0.63028,0.56321,0.57856,0.32737,0.6524,0.489,0.53314,0.29274,1.81131,2.86855,1.85146,1.64426,0,0.001486,0.001486,0.001486
88,566.354,1.42185,2.56358,1.68755,1.3974,0,0.74757,0.5449,0.60402,0.33113,0.68306,0.47818,0.52996,0.29464,1.75834,2.89113,1.76784,1.63348,0,0.001387,0.001387,0.001387
89,572.403,1.39821,2.54222,1.63729,1.39654,0,0.72328,0.51635,0.60095,0.33285,0.65563,0.43793,0.51306,0.28657,1.77836,2.87952,1.78061,1.62416,0,0.001288,0.001288,0.001288
